subregion,year,sex,total
Eastern Europe,2009,Male,16752
Eastern Europe,2010,Female,5962
Eastern Europe,2010,Male,15774
Eastern Europe,2011,Female,5579
Eastern Europe,2011,Male,14884
Eastern Europe,2012,Female,4608
Eastern Europe,2012,Male,13228
Eastern Europe,2013,Female,4782
Eastern Europe,2013,Male,1207
Eastern Europe,2014,Female,4515
Eastern Europe,2014,Male,13026
Eastern Europe,2015,Female,4680
Eastern Europe,2015,Male,13352
Eastern Europe,2016,Female,4718
Eastern Europe,2016,Male,12777
Eastern Europe,2017,Female,4628
Eastern Europe,2017,Male,12709
Eastern Europe,2018,Female,4414
Eastern Europe,2018,Male,13038
Eastern Europe,2019,Female,3570
Eastern Europe,2019,Male,9540
Eastern Europe,2020,Female,3310
Eastern Europe,2020,Male,9081
Eastern Europe,2021,Female,3080
Eastern Europe,2021,Male,8446
Latin America and the Caribbean,2001,Female,7937
Latin America and the Caribbean,2001,Male,86505
Latin America and the Caribbean,2002,Female,8275
Latin America and the Caribbean,2002,Male,80494
Latin America and the Caribbean,2003,Female,8766
Latin America and the Caribbean,2003,Male,93117
Latin America and the Caribbean,2004,Female,6452
Latin America and the Caribbean,2004,Male,91705
Latin America and the Caribbean,2005,Female,8318
Latin America and the Caribbean,2005,Male,88782
Latin America and the Caribbean,2006,Female,9218
Latin America and the Caribbean,2006,Male,95183
Latin America and the Caribbean,2007,Female,9581
Latin America and the Caribbean,2007,Male,101879
Latin America and the Caribbean,2008,Female,9253
Latin America and the Caribbean,2008,Male,100743
Latin America and the Caribbean,2009,Female,10137
Latin America and the Caribbean,2009,Male,111723
Latin America and the Caribbean,2010,Female,11224
Latin America and the Caribbean,2010,Male,117738
Latin America and the Caribbean,2011,Female,11844
Latin America and the Caribbean,2011,Male,123170
Latin America and the Caribbean,2012,Female,12686
Latin America and the Caribbean,2012,Male,127456
Latin America and the Caribbean,2013,Female,12838
Latin America and the Caribbean,2013,Male,129630
Latin America and the Caribbean,2014,Female,11433
Latin America and the Caribbean,2014,Male,109364
Latin America and the Caribbean,2015,Female,11207
Latin America and the Caribbean,2015,Male,108036
Latin America and the Caribbean,2016,Female,12526
Latin America and the Caribbean,2016,Male,125529
Latin America and the Caribbean,2017,Female,12150
Latin America and the Caribbean,2017,Male,126208
Latin America and the Caribbean,2018,Female,12748
Latin America and the Caribbean,2018,Male,128508
Latin America and the Caribbean,2019,Female,13119
Latin America and the Caribbean,2019,Male,113777
Latin America and the Caribbean,2020,Female,11898
Latin America and the Caribbean,2020,Male,102550
Latin America and the Caribbean,2021,Female,9448
Latin America and the Caribbean,2021,Male,89004
Melanesia,2006,Female,9
Melanesia,2006,Male,14
Melanesia,2007,Female,12
Melanesia,2007,Male,10
Melanesia,2008,Female,18
Melanesia,2008,Male,3
Melanesia,2009,Female,10
Melanesia,2009,Male,7
Melanesia,2010,Female,8
Melanesia,2010,Male,21
Melanesia,2011,Female,6
Melanesia,2011,Male,14
Melanesia,2012,Female,9
Melanesia,2012,Male,11
Melanesia,2013,Female,7
Melanesia,2013,Male,13
Melanesia,2014,Female,8
Melanesia,2014,Male,11
Melanesia,2015,Female,12
Melanesia,2015,Male,8
Melanesia,2020,Female,1
Melanesia,2020,Male,1
Melanesia,2021,Female,1
Melanesia,2021,Male,0
Micronesia,2020,Female,1
Micronesia,2020,Male,0
Northern Africa,2005,Female,52
Northern Africa,2005,Male,270
Northern Africa,2006,Female,63
Northern Africa,2006,Male,459
Northern Africa,2007,Female,144
Northern Africa,2007,Male,405
Northern Africa,2008,Female,163
Northern Africa,2008,Male,517
Northern Africa,2009,Female,110
Northern Africa,2009,Male,856
Northern Africa,2010,Female,245
Northern Africa,2010,Male,1098
Northern Africa,2011,Female,197
Northern Africa,2011,Male,1642
Northern Africa,2012,Female,331
Northern Africa,2012,Male,2372
Northern Africa,2013,Female,369
Northern Africa,2013,Male,2467
Northern Africa,2014,Female,105
Northern Africa,2014,Male,533
Northern Africa,2015,Female,144
Northern Africa,2015,Male,787
Northern Africa,2016,Female,170
Northern Africa,2016,Male,803
Northern Africa,2017,Female,105
Northern Africa,2017,Male,489
Northern Africa,2018,Female,113
Northern Africa,2018,Male,648
Northern Africa,2019,Female,70
Northern Africa,2019,Male,440
Northern Africa,2020,Female,312
Northern Africa,2020,Male,1457
Northern Africa,2021,Female,283
Northern Africa,2021,Male,1346
Northern America,2001,Female,3858
Northern America,2001,Male,12273
Northern America,2002,Female,4621
Northern America,2002,Male,14964
Northern America,2003,Female,3967
Northern America,2003,Male,12843
Northern America,2004,Female,3850
Northern America,2004,Male,13225
Northern America,2005,Female,3552
Northern America,2005,Male,13021
Northern America,2006,Female,3739
Northern America,2006,Male,13666
Northern America,2007,Female,3816
Northern America,2007,Male,14101
Northern America,2008,Female,3844
Northern America,2008,Male,13881
Northern America,2009,Female,3732
Northern America,2009,Male,13347
