region,year,sex,total
Oceania,2008,Female,122
Oceania,2008,Male,202
Oceania,2009,Female,135
Oceania,2009,Male,198
Oceania,2010,Female,112
Oceania,2010,Male,254
Oceania,2011,Female,121
Oceania,2011,Male,172
Oceania,2012,Female,114
Oceania,2012,Male,195
Oceania,2013,Female,112
Oceania,2013,Male,193
Oceania,2014,Female,114
Oceania,2014,Male,196
Oceania,2015,Female,119
Oceania,2015,Male,186
Oceania,2016,Female,100
Oceania,2016,Male,183
Oceania,2017,Female,102
Oceania,2017,Male,175
Oceania,2018,Female,76
Oceania,2018,Male,166
Oceania,2019,Female,84
Oceania,2019,Male,135
Oceania,2020,Female,98
Oceania,2020,Male,244
Oceania,2021,Female,75
Oceania,2021,Male,152
