country,year,disease,average
Croatia,2008,Cancer,0.72953355
Croatia,2008,Cardiovascular disease,0.305393
Croatia,2008,Respiratory disease,0.092581876
Cuba,2008,Cancer,0.57140803
Cuba,2008,Cardiovascular disease,0.29345027
Cuba,2008,Respiratory disease,0.21988195
Cyprus,2008,Cancer,0.26953208
Cyprus,2008,Cardiovascular disease,0.16890451
Cyprus,2008,Respiratory disease,0.08100914
Czech Republic,2008,Cancer,0.6864084
Czech Republic,2008,Cardiovascular disease,0.2798014
Czech Republic,2008,Respiratory disease,0.15044555
Côte dIvoire,2008,Cancer,0.37375116
Côte dIvoire,2008,Cardiovascular disease,1.1106751
Côte dIvoire,2008,Respiratory disease,1.9210739
Democratic People's Republic of Korea,2008,Cancer,0.43125135
Democratic People's Republic of Korea,2008,Cardiovascular disease,0.46576697
Democratic People's Republic of Korea,2008,Respiratory disease,0.567064
Democratic Republic of the Congo,2008,Cancer,0.49593905
Democratic Republic of the Congo,2008,Cardiovascular disease,0.68073636
Democratic Republic of the Congo,2008,Respiratory disease,1.0994098
Denmark,2008,Cancer,0.6109394
Denmark,2008,Cardiovascular disease,0.15696177
Denmark,2008,Respiratory disease,0.20830922
Djibouti,2008,Cancer,0.45281392
Djibouti,2008,Cardiovascular disease,0.6926791
Djibouti,2008,Respiratory disease,0.4976276
Dominica,2008,Cancer,0.5785956
Dominica,2008,Cardiovascular disease,0.37704945
Dominica,2008,Respiratory disease,0.34718204
Dominican Republic,2008,Cancer,0.45281392
Dominican Republic,2008,Cardiovascular disease,0.46064866
Dominican Republic,2008,Respiratory disease,0.31246385
Ecuador,2008,Cancer,0.44922015
Ecuador,2008,Cardiovascular disease,0.24226707
Ecuador,2008,Respiratory disease,0.11572734
Egypt,2008,Cancer,0.46718895
Egypt,2008,Cardiovascular disease,0.5169502
Egypt,2008,Respiratory disease,0.23145469
El Salvador,2008,Cancer,0.49593905
El Salvador,2008,Cardiovascular disease,0.28662583
El Salvador,2008,Respiratory disease,0.24302743
Equatorial Guinea,2008,Cancer,0.43125135
Equatorial Guinea,2008,Cardiovascular disease,0.755805
Equatorial Guinea,2008,Respiratory disease,1.2498554
Eritrea,2008,Cancer,0.42765757
Eritrea,2008,Cardiovascular disease,0.5220685
Eritrea,2008,Respiratory disease,0.84480965
Estonia,2008,Cancer,0.6504708
Estonia,2008,Cardiovascular disease,0.45894256
Estonia,2008,Respiratory disease,0.15044555
Ethiopia,2008,Cancer,0.47437647
